file_name,number,case,state,notes
AVG_Reslice of nd641 crop.tif,641,Unc-60,GOOD,
AVG_Reslice of nd642 crop.tif,642,Unc-60,GOOD,
AVG_Reslice of nd643 crop.tif,643,Unc-60,GOOD,
AVG_Reslice of nd644 crop.tif,644,Unc-60,GOOD,
AVG_Reslice of nd646 crop.tif,646,Unc-60,GOOD,
AVG_Reslice of nd653crop.tif,653,Pfn-1,BAD,
AVG_Reslice of nd654 crop.tif,654,Pfn-1,GOOD,
AVG_Reslice of nd655 crop.tif,655,Pfn-1,GOOD,
AVG_Reslice of nd658 crop.tif,658,Pfn-1,GOOD,
AVG_Reslice of nd661 crop.tif,661,Cyk-1,GOOD,
AVG_Reslice of nd662 crop.tif,662,Cyk-1,GOOD,
AVG_Reslice of nd675 crop.tif,675,Ect-2,GOOD,
AVG_Reslice of nd676 crop.tif,676,Ect-2,GOOD,
AVG_Reslice of nd677 crop.tif,677,Ect-2,BAD,
AVG_Reslice of nd678 crop.tif,678,Ect-2,BAD,
AVG_Reslice of nd679 crop.tif,679,Ect-2,GOOD,
AVG_Reslice of nd682 crop.tif,682,Pfn-1,GOOD,
AVG_Reslice of nd683 crop.tif,683,Pfn-1,BAD,
AVG_Reslice of nd687.tif,687,Control,GOOD,
AVG_Reslice of nd688_crop.tif,688,Control,GOOD,
AVG_Reslice of nd692 crop.tif,692,Control,GOOD,
AVG_Reslice of nd693 crop.tif,693,Control,GOOD,
AVG_Reslice of nd694 crop.tif,694,Control,GOOD,
AVG_Reslice of nd695 crop.tif,695,Control,GOOD,
AVG_Reslice of nd704_crop.tif,704,Gck-1,GOOD,
AVG_Reslice of nd705 crop.tif,705,Gck-1,GOOD,Needs to be re-trimmed (to do later)
AVG_Reslice of nd706 crop.tif,706,Ccm-3,GOOD,
AVG_Reslice of nd708 crop.tif,708,Gck-1,GOOD,
AVG_Reslice of nd710 crop.tif,710,Ccm-3,GOOD,
AVG_Reslice of nd711 crop.tif,711,Ccm-3,GOOD,
AVG_Reslice of nd712 crop.tif,712,Ccm-3,GOOD,Potentially needs to be re-trimmed
AVG_Reslice of nd713 crop.tif,713,Gck-1,GOOD,
AVG_Reslice of nd714 crop.tif,714,Gck-1,GOOD,
AVG_Reslice of nd715 crop.tif,715,Gck-1,GOOD,
